review,emotion
어디에도 적어놓지 않고 자체 브레이크타임 함 더워서 땀 뻘뻘 흘리며 올라가서 들어갔는데 안에서 기다리지도 못하게 하고 자기들 밥 먹으니 나가라고 하는 식당은 처음 봄 사장님 이거 보시면 직원관리 좀 제대로 하셔야겠어요 브레이크타임 적어놔야 그 언덕길 헛걸음 안 하겠죠 정말 최악 다신 안 감,0
사장님께서 고기에 진심이십니다 너무 잘 구워주시고 병맥주 기다릴 때 서비스로 생맥까지 주셨어요 다음에 또 올게요,1
에어컨 직빵자리라서 옆에 자리좀 옮기려니까 다 예약이라고 뭐라하는  예약석이라고 적힌데는 따로있구만,0
주변에 비해 가격도 저렴하고 맛도 있었어요 기본으로 나오는 조개탕은 술안주로 굿,1
양 진짜 적네 구워줘서 편한데 맛은 쏘쏘,0
마감시간 전인거 전화로 안내받고 마감시간 훨씬 전에 도착했는데 재료 소진됐다고 그냥 가라고 쌀쌀맞게 응대하는거보고 알바생 교육부터 잘 시키셔야하는게 아닌가 싶습니다 최근 후기들 몇몇개를 보면 남자 알바가 너무 불친절하다는 글 보니 동일 인물이지않을까싶은데 방문하실때 참고 하셔야 될 듯 합니다,0
저녁 시간 전에 일찍 가면 좋아요 반찬이랑 해물탕 맛있네요 볶음밥은 한 인분 양이 나올 거라고 생각했는데 그냥 인분이라고 생각하면 되요 고기 양은 살짝 작은 편인것같아요 반찬 다양해서 좋아요,1
목살 명이나물이랑 먹으니까 존맛탱,1
맛있습니다,1
눈꽃살 꽃게라면 최고 시끌벅적한데 고기집은 뭐 눈꽃살 꼭 드셔보세요,1
그냥 먹을만했다,0
강남에서 고기먹으려고 할때 괜찮아요,1
칭구들 명 데려와서 실패한적 한번두 없는 곳 ㅠㅠ 사진은 저모양이지만 또먹구싶다 흑흑,1
고기 구워주셔서 맛있게 먹었습니다 메뉴는 이베리코목살 먹었어요,1
강남에서 고기 먹고싶으면 무조건 여기로 기본으로 나오는 해물탕이라고 해야하나 암튼 그거 맵고 맛있어요,1
강남 고깃집 중 꽤 괜찮은곳ㅎㅎ 고기가 두껍고 의외로 분위기도 좋다 자주갈듯 다만 밑반찬을 미리 꺼내놓아서 신선도가 아쉬웠음,0
인분에 원 음식 맛있고 소주도 슬러쉬 소주로 줘서 맛있음,1
반찬 미리 셋팅해놔서 일찍 가면 차려진지 오래된 반찬 먹어야됨 벌레 날라다니는데 찝찝함 고기는 맛있는편이나 그 외에 것들이 참,0
고기 잘 구워주시고 밑반찬 괜찮아요 다소 시끄러움 삼겹살 추천,1
두꺼운 고기를 구워주셔서 편하게 먹을 수 있어요 사이드도 맛있습니다,1
사장님인지 직원분인지 모르겠는데 고기 굽는 내내 불친절하시고 먹는 내내 불편해서 다시는 안갈것 같습니다 여태 다녀본 고깃집중에 최악의 서비스였네요 고기 맛도 그냥 그랬어요,0
고기도 다 직접 구워지시고 반찬 리필도 직원분들이 해주세요 맛도 괜찮았습니다,1
고기가 맛있습니다,1
고기 맛이 왔다갔다 하는데 전체적으로 괜첞음,1
존맛 진짜  웨이팅만아니면 또가고싶음 항아리냉면 꼭드세요,1
역대급,1
쏘쏘,0
환기 전혀 안돼요 양도 적은편인데 비계만 너무 많고 느끼해요 근데 밑반찬도 느끼한걸 잡아줄만한게 없음 해물라면도 해산물 냄새 예민한편이면 못먹을듯 날치알볶음밥이 제일 나았어요 냉면도 걍 그럼 그리고 알바생인지 직원인지 구워주긴 하는데 잘굽는것도 아니고 손님이 너무 많아서 이테이블 저테이블 다니느라 걍 정신없어보이고 너무 느려요 전 두번다신 안갈거 같아요ㅠㅠ,0
맛있음,1
다시는 안 갑니다손님에 비해 일하는 직원의 너무 부족하다고 느꼈고 그마저도 너무 바빠서 힘들고 불친절하다는 느낌을 많이 받았네요 그리고 음식도 너무 늦게 나와요,0
여러분 목살이요 목살 다른거 말고 목살이오 제발,1
고기 양도 많고 너무 맛있어요 ㅎ 후식들 다맛있어요 해물라면 냉면 직원들이 고기 직접 다꾸워주시고 친절하세요 이베리코 목살 최고,1
고기 양이 그냥 ㅋㅋㅋ너무 적음 ㅋㅋㅋㅋ 싼편도 아닌데직원들 불친절함 볶음밥 먹을만함,0
토요일 점심에 갔었는데 사장님 알바직원분 다 친절하시고 서비스도 너무 좋았습니다  또 갈게요,1
맛있는데 고기맛이 좀 알바생 타요,1
삼겹살이랑 항정살 먹었는데 맛은 다른 고기집하고 비슷했다 양도 좀 적은 편 직접 구워주시는데 바빠서 그런지 좀 태움 여기는 꽃게라면이 제일 맛있다ㅋㅋㅋ 고기 먹고 느끼한게 싹 가시는 느낌,0
고기는 맛있긴 한데 여자끼리 온 테이블에만 친절한 직원분은 참 이상함 그리구 웨이팅 너무 길어서 다시 안 갈 듯,0
맛있는데 양 적고 알바생들 불친절함 직접 구워주고 반찬 잘 나와서 그나마 점 줌,1
직접 구워줘서 좋고 맛도 있어요 여자 직원은 불친절해요 그래도 맛있으니 점이에요,1
맛있는 고기집,0
고기 맛있어요 잘 구워주시고 밑반찬도 좋아요 조금 비싸기는 한데 구워주는 값이랑 머 찌개가 다른 된장찌개 같은 것보다 맛있어서 대충 그값이라고 생각하면 괜찮 여자 둘이서 고기 인분에 맥주 소주 냉면 먹으니까 배불러요,1
고기 진짜 잘구워주시고 직원분들 친절하세요 바쁠땐 모르겠지만 난 하가할 때 감 너무 맛있어요 ,1
목살 개맛있음 가성비는 안 좋음,1
고긴 맛있는데 양이 쥐오줌만하고 일단 검은색 옷 입으신분이 너무 불친절해서 화날정도 그리고 볶음밥 인분 시켰는데 원래 반공기라고 말도 안되는 소리하는데 맛도 개짬 손님 불편하게 하는 식당 첨임,0
고기는 정말 맛있었고 여자 알바생분들 너무 친절하셔서 좋았어요 ㅎㅎ 하지만 남자직원분 삼겹인분 시켰는데 목살 인분으로 잘못나와서 말씀드렸더니 죄송하단 말도 안하고 훽 가져가버리시고  고기도 구워주시다가 나중엔 저희가 구워먹었습니다 ㅎ 볶음밥을 추가로 개 시켰는데 하도 안나오길래 주문이 들어갔냐고 여쭤봤더니 한참을 안오시는 다시 불러서 안들어갔으면 그냥 취소해달라고 말했더니 훽 취소해버리시는게 맞는건가요 즐겁게 밥 먹으러 갔다가 기분만 나빠졌습니다 ㅎㅎ,0
여기는진짜 고기에진심인곳 인생돼지목살집,1
맛은 있으나 양이 쥐 오줌만 함,0
참 맛있는 삼겹살과 꽃게라면,1
이렇게 친절한 고깃집 첨봐요,1
존맷 사장님 친절해요,1
말모말모 목살 존맛탱 웨이팅 너무 심각하지만 그래도 가는 이유가 있어요,1
최고의 찐맛집 지금까지먹어본 고기집중에서 제일맛있었어요,1
알바생 한 명이 개 정도 테이블 고기를 구워주시는데 동일한 집게와 가위를 쓰는거보고 경악했어요 물티슈로 쇠판 닦고 그 탄거 묻은 집게로 또 남의 테이블 고기집고 ㅠ구워주는 서비스 좋지만 그 전에 기본인 위생이 먼저아닐까요 한 테이블마다 개의 가위 집게 개선됐으면 좋겠어요,0
저 세상 맛집 목살이 이렇게 맛있는 줄 처음 알았던 집 삼겹은 기본이고요,1
너무 친절하셨어요 웨이팅 때도 순서 바로바로 알려주시고 고기도 잘 구워주시는데 서비스도 잘해주셔어요 박경빈 매니져님 최고였습니다 친구 생일이라 케익도 맡겨주시고 설명도 잘해주시고 고기가 제일 맛있어서 점 드립니다 목살 존맛 라면은 필수,1
고기가 맛있다 근데 이제 구워 주셔서 편안함을 곁들인,1
사장님이 매우 친절하고 유쾌하세요 고기도 맛있어요,1
화포식당이랑 비슷한거 같아요 ㅇㅅㅇ  소주는 얼려나와 좋어요,1
맛있었습니다 제가보기엔 점대에요평점 오르라고 점 드림 친구 추천으로 갔구요 꽃게 해물탕은 서비스 고기는 맛있습니다 숯불입니다 강남에서 맛으로는 이만한집 찾기 힘들듯,1
목살맛집 통통한 고기가 진짜 일품 항아리냉면도 같이먹음 맛있어요 맛있는 고기먹고싶을때 믿고 가는집,1
고기도 맛있고 기본으로 주는 탕도 맛있어요 바쁜데도 직원분들이 빨리 움직여주셔서 좋았습니다,1
평일방문 약간의 웨이팅이있었으나 고기 정말 맛있음 청결도만 조금 신경썼으면,1
인생 목살집 넘 맛있어요,1
고기 구워주셔서 편하고 고기와 먹는 명이나물 등이 맛있다 명이나물고추냉이 조합이 제일 좋음 근데 제일 맛있는건 항아리어쩌구냉면,1
목살보다는 삼겹살이 존맛,1
최최악악,0
별 한개도 아깝다 가지마세요 비싸기만하고 고깃집인데 고기가 별로임 ㅋㅋ 삼겹살이 걍 비계덩어리임 고기가 다 저딴식임 직원들 전부 불친절 사장도 있는데 그딴식으로 한다는건 가게 자체가 장사할 마음이 없다는 것 같음,0
고기도 구워주고 맛있음,1
고기 퀄리티는 나날이 나빠지는데 가격이 계속 올라가서 아쉬움 몸집 큰 매니저급이랑 전반적으로 알바생들이 굉장히 무례할 정도 손님에게 틱틱대기까지 해서 아쉬움,0
고기만 좋다 나머진 그닥,0
삼겹살 다 이랬음 굽기전에 말해야 된다하는데 자르기 전에는 몰랐어요작년에 갔을때 맛있어서 간건데 지인들한테 맛있다하고 데려간거 후회됩니다 ㅠ 삼겹살인분 다 이랬어요 저는 먹다 뱉었어요,0
고기 구워주는데하나도 안익엇는데 먹어라고 올려줌 가위달라고해서 반잘라보니 아직 생고기임 짐게달라고하니깐 행주집게라고 떡하니 써잇는거 줌,0
맛있는데 식사류는 창렬,1
직원태도가 영 불친철하고 손님방치하고 음식점가서 화나긴 처음이네요,0
열심히 먹느라 사진이 없다 이런 고기집을 몰랐던 게 부끄러울 정도 고기와 사이드도 실하고 서비스도 만족스러운 곳 자꾸자꾸 먹어서 돈이 많이 나오는 곳,1
구워주시던 직원 고기 반찬은 괜찮았는데 식사류가 최악이네요 시켜서 먹기는 아까울정도 고기만 많이 드시고 나오면될듯 소주도 히야시 잘되있고요,0
딱 고기만 먹어도 고기가 참 맛있음 먹다보면 만원 넘어감 넘비싸,1
직원태도가 기분나쁘네요 자기 편하게 일하려고 그렇게 하시나요 표정이 진짜 한대 치겠어요ㅋㅋ,0
삼겹살이베리코목살냉면볶음밥 고기 구워주고 사이드메뉴들이 맛있음 강남역이랑 선릉역에도 있음,1
고기부터 사이드메뉴까지 정말 완벽하게 다 맛있어요,1
맛있다리 꾜,1
맛좋게 구워줘요,1
직접 구워주고 직원 친절하고 고기집 치고는 옷에 냄새도 많이 나지 않습니다 소주는 기가막히게 시원하게 해줍니다 ㅎㅎ 이베리코 목살이 삼겹살보다 맛있습니다,1
정말 맛있어요 물론 좀 비싸긴 하지만 강남이니 뭐,1
양고기에 잡내 없이 잘 하지만 맛이 있냐 물어본다면 글쎄 평타는 친다,0
맛있고 분위기도 좋은데 비쌈,1
보통의 양고기 업장과 비교해서 모던한 인테리어 양 잡내 없이 깔끔한 맛 사이드는 평범한 편,0
음 개맛도뤼예요 사장님도 친절하시구 다 꾸워주심 ㅎㅅㅎ 예약 가능하니까 예약하고 가심 편해용,1
양갈비 양꼬치 꿔바로우 다 쏘쏘 친절하고 구워주고 예약되는 건 좋지만 엄청 맛있는지는 잘 모르겠음,0
맛있어요 예약되서 모임하기 좋아요,1
금요일 저녁에 갔더니 정말 웨이팅이 어마어마 강남역은 회식도 해서 시간이상 기다렸어요ㅠㅠ 직원분들이 꼬치 계속 치워주시고 특히 옥수수 우육면 존맛탱 꼬치도 너무 맛있어요,1
맛있게 잘 구워주셔서 좋았어요,1
맛있고 좋았어용,1
양꼬치는 그저그럼 다음에 양갈비로 먹어보기,0
양갈비 인생맛집,1
맛있는데 비쌈 개 원 사이다 ,0
제가 미식가는 아니지만 먹어본 양꼬치집중에서 최고에요 비싸지만 비싼값하는곳인듯 ㅎㅎ 찾아보니 약수에도있고 지점이여러군데있네요 기회 되면 진짜 또가고싶어요 양고기가 삼겹살부위라서 약간 기름기가 많긴 하지만 정말 고소하고 맛있었고 서비스도 좋았습니다,1
양이 정말 적어요 갈비를 시켰는데 사람들이 전부다 꼬치만 먹길래 뭐지 싶었으나 꼬치 먹어보고 왜 꼬치만 시켰는지 알겠음 갈비는 라무진가서 드시고 꼬치를 드세요 꼬치가 맛있음 볶음밥은 약간 투머치하게 기름져서 먹다보면 느끼하고 물림,0
양꼬치 양 적지만 맛있뚬ㅠㅠ 육즙 미쳤어요 꿔바로우는 너무 달아서 별로,1
양꼬치는 냉동임,0
프랜치랙 입에서 살살 녹아요ㅎ,1
양갈비 진짜 맛있어요 양꼬치도 완전 만족스러워용,1
 강남역근처 양갈비 맛있는 곳  제가 먹은 메뉴는 콤보세트로 양갈비프렌치랙가니쉬치즈퐁듀 세트로 알차게 양갈비를 즐길 수 있었어요 제일 맛있었던건 프렌치랙 년 미만의 어린 양 한 마리에서 밖에 나오지 않는 특수부위라고 해요 양고기 특유의 냄새가 나지 않고 부드러워서 좋았습니다 양꼬치의 향이 강해서 못드신다하시는 분들은 양파이의 양갈비나 프렌치랙 드셔보시길 추천이요 정말 냄새 안 나고 부드럽고 맛있습니다 양갈비    강남역 근처에 강남역양꼬치 강남역양갈비 찾으신다면 참고해주세요 사장님도 친절하시고 주차도 가능 제 메뉴는 프렌치 콤보 원 업체이름  양파이 강남점 주소  서울 강남구 강남대로길 ,1
감동감동이었어요 맛도 좋고 친절했습니다,1
고기 자체는 무난하게 괜찮음 마블링이 특히 많은게 특징적 우육면이 내가 알던 우육면과 다른데 매우 맛있음,1
맛있는데 조금 비쌈,0
양꼬치 먹었는데 다굽고 위에 올려놓을데가 없음 기름이 너무 많아서 계속 불남 하지만 직원은 엄청 친절하심 굿굿,0
진심 존맛탱임 중식은 먹다보면 느끼하고 물리는데 음식이 너무 깔끔하고 맛있음 매우 만족 직원분들이 너무너무 친절하셔서 눈치안보고 막먹음ㅠㅠ 또올게요 수고하세연,1
직원들 너무 친절하고 양갈비 직접 구워주셔서 더 맛있게 먹을수 있었어요,1
불친절 오버쿡 직원이별루인곳,0
가격은 비싼데 맛은 기대 이하 서비스는 나쁘지 않은데 양고기가 부드럽지가 않고 좀 질깁니다ㅠ,0
강남이라 금액은 있지만 서비스가 정말 좋았습니다 특히 매니저님께서 친절하셔서 감사했어요 ㅎㅎ 맛도 좋고 서비스에 한번더 감사하게 먹고 갑니다,1
꿔바로우는 평범했구요 양꼬치 엄청 신선하고 냄새 안 나고 맛있어요 먹어본 곳 중에 제일이었습니다 양꼬치는 앞으로 여기서만 먹어야겠어요,1
강남역점만 유일하게 남은듯 양고기는 역쉬 양파이,1
정말 최악의 양갈비 양도적고 맛도 없다 비싸기만 한 절대로 두번다시 갈일 없을듯,0
양갈비 입에서 살살 녹아요ㅠㅠ 구워주시는 사장님이 친절하셨고 강남에서 먹은 것 중 제일 만족스러웠던 것 같아요 꿔바로우도 존맛,1
고기에 냄새도 안나고 좋았음처음 접해 본 사람도 쉽게 먹을 수 있을 듯다만 자리가 협소해 불편함,0
프렌치콤보 추천이 많아서 먹었는데 정말 맛있네요 특유의 냄새도 안나고 저는 밑반찬으로 나오는 음식들도 정말 중요하게 생각하는데 절임과 나물무침들이 양고기와 함께 조화롭게 되서 먹어도 먹어도 질리지 않게끔 했습니다 고기도 알아서 다 구워주시니 편하고 좋았구요 직원분들도 정말 친절하셨어요 다음에도 또 갈 의향이 있습니다 아 리뷰쓰는데 또 먹고 싶네요 츄릅,1
몇번 가서 먹어봤는데 갈때마다 항상 알바하시는 분들이 친절하고 다른곳에서는 간혹 비린내가 나지만 여기는 고기가 비린내가 안나고 맛있었습니다 추천맛집,1
불친절함의 극치 맛은 평범 비싸기만 비싸고 다신 안갑니다,0
양고기 냄새나서 못먹는데 여기는 냄새도 안나고 고기질도 신선해서 잘 먹어요 알바분들도 너무 친절하세요  양고기가 일반적으로 생소한데 고기구워주시면서 친절하게 설명해주셔서 맛있게 잘먹을수있었습니다 강남 들리시면 한번 들리시는거 추천드려요,1
양고기를 처음 먹으러가서 냄새날까봐 많이 익혀달라고 했더니 보통 양고기 냄새 때문에 이렇게 말씀하시는 사람이많다곸ㅋㅋㅋㅋㅋ 고기 부위별로 설명해주시면서 익힘정도 조절해주시고 맛있게 먹는 팁까지 알려주셔서 첫 양고기 성공했습니다 사이드도 와장창 시켰더니 테이블이 좁으실거라고 최대한 정리해드린다곸ㅋㅋㅋㅋ 얼굴에 열오르면 화장뜨니까 불부터 빼곸ㅋㅋㅋㅋㅋ촥촥 테트리스하듯이 정리 딱 해주심ㅋㅋㅋㅋㅋㅋㅋㅋ 알바생분들이 여자분들이라 여자맘을 잘아는듯 또갈게요,1
알바생의 불친절함으로 정말 가고싶지않아요  작년 월 일 오후 시 다른 손님이 아무도 없는 시간이었는데도 편한 쇼파식 자리는 앉지 못하게하더라구요 행동마다 사사건건 간섭하는 말투하며 조금만 먹다가 자리옮겼습니다,0
월 일 방문 너무 불편함을 느껴 리뷰를 남깁니다 처음은 친절했으나 시간이 지나고 대기자가 생기니 빨리 먹고 나가라는 눈빛이 장난 아니었습니다 양꼬치 하나 먹고 나면 꼬치대를 수거해가고 접시 및 그릇 다 비우면 바로바로 치우고 처음에는 친절함으로 느껴졌으나 점점 이상하다는 생각이 들었습니다 이야기 나누는데 방해도 됐고요 심지어 옆 테이블은 의자 하나까지 빼더라고요 결정적인건 마지막 꼬치를 들자마자 점원이 와서 불 빼도 될까요 물어 보더라고요 그때 너무 짜증나 물었습니다 빨리 나가야 되나요 점원왈그래 주시면 좋죠  뒷 테이블 옆테이블도 불 바로 뺐네요 양꼬치를 저녁밥 먹으러 간 것도 아니고 천천히 술한잔 하러 간건데 너무 불편해서 이런 글까지 남기네요 사장님뿐 아니라 모든 직원이 손님들의 편안하고 즐거운 저녁시간보다는 테이블 회전율에 집중하고 있었습니다,0
주말 점심에 이용했습니다 미리 예약했음에도 준비가 늦어졌고 식당 내부는 오래된 웨딩홀 뷔페에서 식사하는 느낌을 받았습니다 직원들이 굉장히 부산스럽고 어설펐으며 식사 중임에도 자꾸 접시를 치우려고하는 모습이 굉장히 불편했어요 샐러드 바도 바로바로 채워지진 않아서 아쉬웠습니다 음식은 나쁘지않았으나 재방문 의사는 없습니다,0
한국인 여자 서버들 교육좀 시키세요 서빙하면서 그릇 던지고 메뉴 설명도 제대러 안하는게 아웃백보다 못한듯요 맛은 잇엇습니다,0
먹잘알분들은 잘 아시겠지만 로스트비프는 로리스 미만 잡이에요 식전샐러드부터 사이드디쉬도 어느하나 빠지지않아요 와인도 리스트업이 잘되어있어서 골라마시는 재미가 있어요 의외로 하우스 스파클링와인이 참 맛있었답니다,1
맛있는 곳만 별점 줌,1
평일 점심 런치  인데 가성비 좋고 음식 맛있습니다 립 부드럽고 뷔페도 종류는 많지않아도 맛있네요,1
옛날부터 가끔씩 생각날때마다 가는집인데 년전 방문했을때 클래식한 분위기 그대로 가성비는 떨어지지만 다른곳에선 못먹는 맛 그레이비는 자극적이지않고 자연스럽고 고기는 부드러움 디너라 그런가 뷔페는 없던데 없는게 나을듯,1
이 가격에 서비스랑 맛이 참 아쉬워요 일단 테이블 덜그락 거림 직원이 좀 교육이 덜 됨 디저트 먹는데 수저 다 챙겨감 평일 강남컷 먹었는데 뷔페 식으로 된 음식은 오리랑 훈제연어 정도 괜찮고 다 소소 콜라 천원 에이드 만원 넘는데 에이드에 과육 조금에 탄산 들어가고 이 가격을 받을 수 있나 싶었음 디저트 최악 맛없는건 둘째치고 오래된 느낌 일반적으로 생각하는 스테이크가 아니고 기름층이 엄청 많고 미디움인데 거의 레어 느낌으로 구워줌 내돈으로 갔으면 절대 안 먹을 듯,0
가성비는 모르갯지만 옛날 패밀리레스토랑 분위기에 인테리어네요 뷔페스타일의 음식은 맛두 떨어지구 의미가 없는거 같습니다 스프는 먹을만햇어요 고기는 부드럽구 맛잇엇어요 고기에만 집중하면 올만한듯해여 양은 적지만,1
저녁에 코스로 식사 재방문은 글쎄 스테이크 잘 하는집은 많다,0
고기는 소고기 수육 비슷한 느낌이 남 통상적으로 생각하는 스테이크 생각하면 안됨 호불호 극히 갈림 고기 그람수가 요리 후 중량 같음 양이 많다는 소리임 적은 사이즈 시켜도 충분 특이한 스테이크 맛보고 싶으면 한번은 추천 주문은 강남컷 추천 아 참고로 미디움해도 고기 빨감,0
대체로 짠데 맛있습니다 고기 부드럽고 랍스터도 맛있었고 스프나 샐러드 다 좋습니다 양이 많은 편이에요,1
얻어먹기 좋은 곳입니다,0
분위기가 좋아요,1
 가성비 떨어지는 곳  다음 사진은 레어 미디움 웰던 중 어떤 굽기일까요,0
가성비가 좋다고 할수는 없으나 이를 따질 곳은 아니라고 생각 독특한 스타일과 훌륭한 맛을 가진 스테이크 그리고 클래식한 분위기 좋은 분과 함께 가기에 충분한 장소,1
와인모임서 갔는데 컨셉이 결혼식 뷔페 ㅋ 스테이크가 한우가 아닌데 엄청 부드러운걸로 봐서 수비드인거같은데 한우보다 더 부드러워서 살살녹음 뷔페는 가지수도 적고 맛도없어서 먹을게 없어 풀떼기 위주로 먹었는데 스시김밥같은 밥종류는 없는거같고 피자는 동네 싸구려 피자보다 개병맛이고 연어는 넘 짜고 스튜의 고기는 넘 질기고 뻑뻑하나 와인안주의 올리브가 있는게 좋고 오리로스는 야들함 스테키와 오리로스는 먹어본곳중 젤 부드러운듯 프랑스인 남녀들이 알바를 하는게 젤 신기 시에 갔는데 시분까지 시간제한이 있어 와인마시다 말았음 시간만 줘도 좋겠는데 마켓오 압구정의 저급스러운 불친절에 비해 친절,1
맛있어서 또 가려고 전화하니깐 받자마자 끊고 전화 돌려놈 그 이후 여러번 전화 했더니 통화중 뜨고 아예 전화를 안받네요 인터넷 예약만 받는다고 적어두세요,0
최애 스테이크집,1
조금은 올드한 인테리어지만 나름대로 클래식하고 음식맛도 훌륭합니다 심지어 천천히 먹다보니 스테이크가 식어서 데워주십사 요청했는데 참 적절하게 조치해주시더라구요,1
안 망했으면 하는 곳,1
맛있어요,1
만천원 스테이크 사이드가 옥수수콘에 브로콜리 라니 개 실망고기는 부드러운데 밍밍함접시분위기디피등은 마치 타임머신타고 년전으로  간기분찝찝,0
저녁시간 혼자 방문했지만 최고의 응대로 맞이함 소고기는 익힘정도가 정확하고 그 외 음식들도 맛있음 다만 고기질이 날마다 조금씩 틀림,1
스테이크 맛집,1
비싸긴하지만 값어치함 양마늠,1
정말 맛있고 분위기 진짜 좋아요 강추,1
점심 뷔페 저렴하고 좋아요,1
점심 뷔페 강남컷 가성비와 분위기 모두 굳,0
강남컷은 수육같고 스테이크는 잡내 났어요 점심 부페는 괜찮아요,0
강남컷은 솔직히 남자한테 많이 부족한거 같고 로리컷이나 로리컷 하나 밑에꺼 정도는 시켜야 배부를듯 그거랑 런치 샐러드바먹고 왔는데 맛있었다 저온에서 조리한 스테이크가 익숙치는 않았지만 숯불에 굽거나 팬프라이한 스테이크랑은 또다른 매력이 있었음 진짜 맛있었다 추천ㅎㅎ,1
   ,1
분위기 굿 샐바도 적지만 알참,1
점심에 강남컷이 괜찮다 샐러드 부페도 있어야 할것만 있는 편 로스트비프와 가니쉬는 다 맛있었다,0
베버리힐즈에 있는 체인점 가봤는데 비교해서 좀 아쉽지만 그래도 나름 최대한 그 느낌 살리려한 느낌이네요 맛도 괜찮았고 분위기도 좋네요 ,1
프라임립스테이크 까르보나라,1
점심 샐러드바 가성비 너무 좋은 듯,1
카드 미각여행으로 갔어요 스테이크도 맛있고 분위기도 좋고 친절하셔서 대만족이었습니다,1
점심 강남컷 원에 저온에서 장시간 익힌 부드러운 스테이크와 질좋은 샐러드바를 먹을 수 있다 샐러드바는 서비스개념으로 제공되지만 품질은 다 괜찮다 원형 테이블 원형 소파로 채워져있고 엘레베이터에사 내리자마자 보이는 샹들리에는 고급스런 레스토랑에 온 느낌을 받게 한다,1
이전보다 별로 아쉽다 크렘브륄레를 맘대로 먹을수 있었는데 저번에 가니까 없었음  ㅠㅠ  보통생각하는스테이크랑 조금다른데 나름 부드럽고 나쁘진않다 같이나오는 빵도 괜찮고 점심이 저렴하고 뷔페식이라 괜찮은듯 저녁은 안가봄,0
 ,1
    ,0
맛 분위기 기타 맛보단 분위기로 먹는,0
매장이 크고 강남역 모임할때 찾기 좋아요,1
직원 분들이 너무 친절해요 제가 실수로 음료를 엎었는데 일을 만들었음에도 불구하고 제 걱정부터 해주시면서 찜질하라고 얼음까지 챙겨주셨어요 음료도 새로 만들어주시고 정말 감사했습니다 특히 님이 챙겨주셨어요 감사합니다,1
년 자주 방문 후 후기 여긴 그냥 음료를 못 만드는 거였다 맛 이상한거 몰랐으면 잘못된 음료 마셨을 듯 ㅡㅡㅡㅡㅡ  블랙햅쌀고봉라떼 인기 많다 해서 시켰는데 별로 사람 너무 많고 시끌벅적,0
점기 콘센트 너무 없다,0
친절함,1
친절한지 하나도 모르겠는데 물티슈 달라했더니 대답도 안하고 느릿느릿 틱 주던데,0
너무너무너무 친절해요 스벅 많이 가봤지만 이렇게 친절한 지점은 처음이에요,1
주말에 왔는데 자리가 없어요 포고의 성지네요,0
정말 너무너무너무 친절하셔요  공간도 진짜 넓고 깨끗해요 친절해서 감동을 받아버려서 또 가고 싶은 곳,1
깔끔함,1
근처 리저브 중에 가장 분위기 좋고 넓어서 자리도 많고 널널하고 좋아요 콜드브루몰트도 맛 표현이 가장 잘 되어 있었음 카드에 좋은 하루 되세요라고 써주셔서 정말 좋은 하루 보냈습니다,1
그래서 별다방이지,1
오늘도 맛있는 스타벅스와 함께 하루를 시작합니다,1
바닐라라떼 정말 맛있어요,1
좋아요,1
직원분들이 엄청 친절하셔용,1
스벅치고 인테리어가 세련되진 않았지만 직원분 친절하시고 매장이 넓어서 좋아요,1
굿,1
강남 리저브점 사람이 많네요,1
항상 친철하셔서 좋습니다 잘못 나온메뉴 인지 모르고 가지고 가려고 하는데 부르셔서 다시 만들어 주시는거 보고 오히려 제가 감사했어요,1
깊티 많아서 자주가요,1
깔끔하니 분위기 괜찮은 것 같습니다,1
기분 좋게 잘 이용했습니다 감사합니다,1
빈자리를 본 기억이 없었는데 평일 오전에 가보니 자리가 있네요 엄청 인기,0
넓고 좋은데 에어컨이 너무 안 시원해요 그래도 좋긴 좋음,1
위치도 좋고 천정이 높아서 좋음,1
분위기 좋고 친절해요,1
직원분 늘 친절하고 활기차서 좋아요,1
분위기좋음,1
매장 넓은데 꽉 차 있을만큼 사람 진짜 많은데 직원분들 넘 친절하심 편하게 샌드위치 한 입 하고 가용,1
약속이 있어서 카페 가서 커피 좀 마셔야지 하고 들렀는데 이곳이 있더라구요 매장 크고 깨끗하고 좋아요,1
층에 공부하는 사람 많아요 매장이 바빠서 그런지 먼가,0
아침 일찍 열어서 좋아요 매장도 넓고,1
직원분들이 대체로 친절하시고 매장도 커서 좋네요 다른 스타벅스 매장에 비해 청결에 신경쓰는 편이고요,1
크고 인테리어 좋아요,1
자리도 많고 좋아요 주차가 쬐끔 불편 ,1
사람은 많은데 자리가 많아서 그나마 올만해요ㅎㅎ,1
카공족들땜에 자리없고 화장실 좀 구린거 제외하면 무난무난,1
내가 가본 스타벅스 중에 제일 친절함ㅎㅎ 안경쓴 여자분 완전 친절함 ㅎㅎ,1
친절함에 놀랐다,1
직원분께서 친절히 응대해주셔서 기분좋았던 방문,1
좋아요,1
천정  인테리어  너저분 하다 의자는  어디 짜장면  집에서 중고로  공수해 온건가진짜 리저브매장 같지  않다,0
대한민국 통틀어 가장 리저브답지 않은 스타벅스 지점위 사람 개많아서 자리 없고 화장실도 건물 화장실 써야되서 뭔가 모르게 구림,0
             ,1
진짜 친절하세요,1
사람 너무 많음,0
아메리카노 원두를 고를 수 있음 매장내부가 아주 넓음 직원분이 아주 친절하심 트레이 반납하려는데 세심하게 응대해주심,1
이장소 바리스타님들중 미소천사가있습니다,1
리저브쪽 직원분 진짜 친절하심,1
